"","Site","Latitude","Longitude","Type","Length","References","Charcoal"
"1","Lake Carpentaria GC2",-12.52,140.35,"lacustrine",36,"Torgersen et마l., 1985, 1988",0
"2","Lake Carpentaria MD32",-12.3,139.97,"lacustrine",130,"Chivas et마l., 2001; Reeves et마l., 2008; Devriendt, 2011",0
"3","Four Mile Billabong, NT",-13.85,136.78,"swamp",10,"Shulmeister and Lees, 1995",1
"4","Lynch's Crater, QLD",-17.37,145.7,"lacustrine",234.75,"Kershaw, 1981; Turney et마l., 2006; Kershaw et마l., 2007",1
"5","Lake Walala, NT",-15.68,137.03,"swamp",10,"Prebble et마l., 2005",1
"6","Three Quarter Mile Lake, QLD",-12.5,143,"lacustrine",8.3,"Luly et마l., 2006",1
"7","ODP820",-16.63,146.3,"marine",250,"Moss and Kershaw, 2000; 2007",1
"8","Mua, Torres Strait",-10.18,142.25,"swamp",6,"Rowe, 2007",1
"9","Argan Swamp",-10.05,142.06,"coastal",5.52,"Rowe, 2007",1
"10","Badu 15",-10.06,142.09,"terrestrial",9," Rowe, 2007",1
"11","Bar20",-10.1,142.12,"coastal",2.83,"Rowe, 2007",1
"12","Boigu Gawat Core 1",-10.1,142.14,"coastal",4.57,"Rowe, 2007; Rowe, 2015",1
"13","Boigu Gawat Core 2",-10.1,142.14,"coastal",13.82,"Rowe, 2007; Rowe, 2015",1
"14","Tiam Point",-10.12,142.18,"coastal",7.7,"Rowe, 2007",1
"15","Zurath Islet",-10.16,142.06,"coastal",6.5,"Rowe, 2007",1
"16","Waruid",-10.4,142.09,"coastal",6,"Rowe, 2007",1
"17","Lake Euramoo",-17.1599,145.6286,"lacustrine",23.48,"Haberle, 2005",1
"18","Big Willum",-12.649294,141.84699,"lacustrine",8,"Stevenson 2015",1
"19","Isabella Swamp",-15.421267,144.948585,"swamp",9.2,"Stephens and Head 1995",1
"20","Witherspoon Swamp",-17.49,145.24,"swamp",7.9,"Moss 2012",1
"21","Bromfield Swamp",-17.2244,145.3227,"swamp",37,"Burrows 2014; Burrows 2016",1
"22","Bentinck Island",-17.0666,139.483,"coastal",2.4,"Mackenzie et. al, 2017; Mackenzie et al., 2020",NA
"23","Lizard Island",-14.665,145.463,"coastal",8,"Proske and Haberle, 2012",NA
