Site,Latitude,Longitude,Type,Record,Length,References
Burdekin Delta,-20,147.5,Estuary,Estuary,12,"Fielding et마l., 2006"
"Gilbert River Delta, QLD",-16.55,141.27,Fluvial,Fluvial,85,"Nanson et마l., 1991"
"Lily Ponds, NT",-14.32,132.47,Fluvial,Fluvial,30,"Nott and Price, 1999"
"Waterfall Ck, NT",-13.42,132.42,Fluvial,Fluvial,30,"Nott et마l., 1996"
"Wangi Gorge, NT",-13.15,130.68,Fluvial,Fluvial,30,"Nott et마l., 1996"
Lake Carpentaria GC2,-12.52,140.35,lacustrine,Lake,36,"Torgersen et마l., 1985, 1988"
Lake Carpentaria MD32,-12.3,139.97,lacustrine,Lake,130,"Chivas et마l., 2001; Reeves et마l., 2008; Devriendt, 2011"
"Lake Gregory, xWA",-20.25,127.5,lacustrine,Lake/Dune,13.8,"Veth et마l., 2009; Fitzsimmons et마l., 2012; Wyrwoll and Miller, 2001"
"Cabbage Tree Creek, WA",-16.25,128.42,Dune,Dune,37,"Wende et마l., 1998"
Carpentaria dune field,-13.7,136.2,Dune,Dune,18,"Lees et마l., 1990; Lees and Lu, 1991, 1992"
"Cape Range, WA",-22.17,113.83,marine,Pollen,100,"van der Kaars and De Deckker, 2002"
"Four Mile Billabong, NT",-13.85,136.78,swamp,Pollen,10,"Shulmeister and Lees, 1995"
"Lynch's Crater, QLD",-17.37,145.7,lacustrine,Pollen,234.75,"Kershaw, 1981; Turney et마l., 2006; Kershaw et마l., 2007"
"Lake Euramoo, QLD",-17.17,146.63,lacustrine,Pollen,23,"Haberle, 2005"
"Lake Walala, NT",-15.68,137.03,swamp,Pollen,10,"Prebble et마l., 2005"
"Three Quarter Mile Lake, QLD",-12.5,143,lacustrine,Pollen,8.3,"Luly et마l., 2006"
ODP820,-16.63,146.3,marine,Pollen,250,"Moss and Kershaw, 2007"
"South Alligator River, NT",-12.45,132.47,fluvial,Pollen,7,"Woodroffe et마l., 1985"
"Badu, Torres Strait",-10.12,142.17,swamp,Pollen,8.5,"Rowe, 2007"
"Mua, Torres Strait",-10.18,142.25,swamp,Pollen,6,"Rowe, 2007"
"Liang Luar, Flores",-8.53,120.43,speleothem,Speleothem,12,"Griffiths et마l., 2009, Griffiths et마l., 2010a, Griffiths et마l., 2010b; Lewis et마l., 2011"
Argan Swamp,-10.05,142.06,coastal,"macro, sieved",5.52,"Rowe, 2006a"
Badu 15,-10.06,142.09,terrestrial,"macro, sieved",4.19,"Rowe, 2006a, Rowe, 2006b, Rowe, 2007"
Bar20,-10.1,142.12,coastal,"macro, sieved",2.83,"Rowe, 2006a, Rowe, 2007"
Boigu Gawat Core 1,-10.1,142.14,coastal,"macro, sieved",4.57,"Rowe, 2006a, Rowe, 2007"
Boigu Gawat Core 2,-10.1,142.14,coastal,"macro, sieved",13.82,"Rowe, 2007"
Talita Kupai,-10.1,142.12,coastal,"macro, sieved",2.41,"Rowe, 2006a"
Tiam Point,-10.12,142.18,coastal,"micro, pollen slide",7.7,"Rowe, 2006a, Rowe, 2007"
Zurath Islet,-10.16,142.06,coastal,"macro, sieved",11.83,"Rowe, 2006a, Rowe, 2007"
Waruid,-10.4,142.09,coastal,"macro, sieved",7.2,"Rowe, 2006a, Rowe, 2007"
Lombok Ridge Core G6-4,-10.7833,118.0667,marine,"micro, pollen slide",375.2,"Wang et마l., 1999"
Quambie Lagoon,-12.5,131.17,lacustrine,"macro, sieved",6.54,"J. Stevenson, unpublished data"
Tagamaucia,-16.49,-179.56,lacustrine,"micro, pollen slide",16.36,"Hope, 1996a"
ODP Site 820,-16.6333,146.3,marine,"micro, pollen slide",100.5,"Moss and Kershaw, 2000"
Yacata,-17.156,-179.51,mire,"micro, pollen slide",6.5,"Hope et마l., 2009"
Lake Euramoo,-17.1599,145.6286,lacustrine,"macro, sieved",23.48,"Haberle, 2005"
Soleve,-17.25,-179.49,mire,"micro, pollen slide",7.16,"Clark and Hope, 1997"
Lynchs Crater (holocene core),-17.3667,145.7,lacustrine,"micro, pollen slide",7.39,"Kershaw, 1983"
Waitabu,-18.23,-178.781,other,"micro, pollen slide",1.71,"Latham et마l., 1983"
Whitehaven Swamp,-20.3,148.9,mire,"micro, pollen slide",8.04,"Genever et마l., 2003"
Core Fr10/95-GC-17,-22.0458,113.5018,marine,"micro, pollen slide",101.64,"Van der Kaars and De Deckker, 2002"
Laravita,-8.3909,147.352,mire,"micro, pollen slide",16.14,"Hope, 2009"
Kosipe A,-8.4667,147.2,marsh,"micro, pollen slide",33.36,"Hope, 2009"
Kosipe C,-8.4667,147.2,marsh,"micro, pollen slide",55,"Hope, 2009"
Neon,-8.4725,147.3099,mire,"micro, pollen slide",13,"Hope, 2009"
Black Springs,-15.633,126.389,speleothem,Speleothem,14,Field 2018
Big Willium,-12.649294,141.84699,lacustrine,Lake,8,Stevenson 2015
Isabella Swamp,-15.421267,144.948585,swamp,Swamp,9.2,Stephens and Head 1995
Girraween,-12.517316,131.080832,lacustrine,Lake,22,"Rowe, 2019"
KNI-51,-15.052575,128.431836,speleothem,Speleothem,9,Denniston (2013a)
Witherspoon Swamp,-17.49,145.24,swamp,Swamp,7.9,Moss 2012
Ball Gown Cave,-16.823138,124.098813,speleothem,Speleothem,40,Denniston (2013b)
Bromfield Swamp,-17.2244,145.3227,swamp,Swamp,37,Burrows 2016
