Sample Name,d (0.1),d (0.5),d (0.9),Result Between User Sizes (Sizes in um),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.01,0.011482,0.013183,0.015136,0.017378,0.019953,0.022909,0.026303,0.0302,0.034674,0.039811,0.045709,0.052481,0.060256,0.069183,0.079433,0.091201,0.104713,0.120226,0.138038,0.158489,0.18197,0.20893,0.239883,0.275423,0.316228,0.363078,0.416869,0.47863,0.549541,0.630957,0.724436,0.831764,0.954993,1.096478,1.258925,1.44544,1.659587,1.905461,2.187762,2.511886,2.884031,3.311311,3.801894,4.365158,5.011872,5.754399,6.606934,7.585776,8.709636,10,11.481536,13.182567,15.135612,17.378008,19.952623,22.908677,26.30268,30.199517,34.673685,39.810717,45.708819,52.480746,60.255959,69.183097,79.432823,91.201084,104.712855,120.226443,138.038426,158.489319,181.970086,208.929613,239.883292,275.42287,316.227766,363.078055,416.869383,478.630092,549.540874,630.957344,724.43596,831.763771,954.992586,1096.478196,1258.925412,1445.439771,1659.586907,1905.460718,2187.761624,2511.886432,2884.031503,3311.311215,3801.893963,4365.158322,5011.872336,5754.399373,6606.93448,7585.77575,8709.6359,10000
100 - Average,1.416,11.873,176.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013803,0.126352,0.325959,0.51575,0.696527,0.862292,1.000486,1.119349,1.22299,1.327741,1.445731,1.58958,1.757458,1.938858,2.111836,2.260128,2.37871,2.47374,2.557026,2.640806,2.735127,2.840369,2.950868,3.048252,3.114046,3.128579,3.08234,2.979412,2.833335,2.676795,2.542344,2.464466,2.458637,2.51835,2.609889,2.675203,2.64741,2.47303,2.139889,1.691678,1.229078,0.862251,0.687093,0.755797,1.089313,1.654284,2.279143,2.72395,2.73113,2.203977,1.295967,0.414886,0.08312,0.014873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92 - Average,1.284,10.231,93.005,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011103,0.107876,0.339022,0.560976,0.774711,0.972416,1.138248,1.280503,1.401967,1.519381,1.644558,1.789923,1.952807,2.121934,2.276056,2.401771,2.498616,2.576462,2.648792,2.728191,2.824049,2.936577,3.06212,3.186397,3.298158,3.382727,3.435751,3.453763,3.43867,3.394009,3.321877,3.223245,3.090872,2.917767,2.695603,2.428256,2.128406,1.819065,1.529341,1.291042,1.140286,1.098198,1.158037,1.2857,1.435658,1.554317,1.566793,1.399078,1.048841,0.595623,0.106438,0.00802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120 - Average,1.433,10.416,101.127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006269,0.067734,0.275363,0.474834,0.665885,0.841013,0.986748,1.112349,1.223293,1.338528,1.472649,1.640881,1.84198,2.064561,2.282755,2.47538,2.631662,2.752252,2.844951,2.920794,2.991998,3.065371,3.14473,3.224797,3.29935,3.356186,3.385114,3.371846,3.301104,3.162192,2.945858,2.660189,2.317979,1.95717,1.622273,1.371891,1.258825,1.3267,1.601018,2.075981,2.678035,3.266072,3.622793,3.558596,2.945022,1.932523,0.636508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104 - Average,1.35,10.586,96.291,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008592,0.088132,0.31924,0.530377,0.729533,0.911625,1.063691,1.195795,1.312394,1.430999,1.563782,1.723261,1.906064,2.099874,2.280711,2.43112,2.545424,2.629251,2.694253,2.754153,2.822076,2.904544,3.004145,3.113202,3.223957,3.320972,3.393067,3.422877,3.395611,3.299367,3.12569,2.879968,2.570952,2.228893,1.891456,1.614585,1.455033,1.463878,1.669935,2.063349,2.569544,3.055482,3.329899,3.221567,2.634706,1.639261,0.467713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 - Average,1.462,15.906,1173.484,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010948,0.105597,0.323887,0.507301,0.678866,0.835669,0.966562,1.080499,1.180188,1.279239,1.386552,1.511646,1.651847,1.79799,1.932369,2.042603,2.125693,2.187604,2.238625,2.289504,2.349165,2.419625,2.49837,2.57398,2.635104,2.667987,2.664948,2.623119,2.544354,2.439893,2.320837,2.201767,2.086099,1.97018,1.83677,1.665511,1.438127,1.151995,0.828623,0.512387,0.269745,0.145058,0.163069,0.348376,0.659897,1.000044,1.250349,1.312534,1.134838,0.750451,0.281975,0.104835,0.151243,0.338081,0.682192,1.186029,1.809181,2.477522,3.082776,3.501605,3.622301,3.365048,2.742593,1.652615,0.405613,0,0,0,0,0,0,0,0,0,0,0
108 - Average,1.264,8.996,69.325,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012577,0.119835,0.354946,0.579128,0.793492,0.990485,1.15492,1.296344,1.419309,1.542791,1.680711,1.847484,2.040604,2.247531,2.44286,2.608147,2.737843,2.838363,2.922011,3.002509,3.092386,3.19548,3.310195,3.421948,3.515272,3.569365,3.570871,3.511894,3.39223,3.228383,3.04124,2.862814,2.713188,2.602612,2.51743,2.426517,2.286114,2.056881,1.724048,1.312786,0.89371,0.595893,0.482978,0.4537,0.543121,0.87379,1.300523,1.570914,1.535605,1.154417,0.585556,0.026251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82 - Average,1.155,5.983,31.969,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024969,0.270631,0.523602,0.786615,1.050399,1.294322,1.527039,1.747358,1.974073,2.217052,2.490813,2.788046,3.091089,3.363577,3.575202,3.709801,3.769152,3.767583,3.727384,3.671174,3.618323,3.579432,3.558086,3.550428,3.549589,3.545544,3.525635,3.474538,3.382518,3.244376,3.068351,2.863247,2.644816,2.419199,2.18716,1.935217,1.644014,1.299218,0.89816,0.513945,0.11445,0.013876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70 - Average,2.299,16.602,161.398,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007612,0.121635,0.263987,0.390677,0.4958,0.585151,0.658289,0.721991,0.786315,0.860523,0.954486,1.070362,1.206532,1.354663,1.509254,1.668649,1.835194,2.013299,2.204938,2.413058,2.631724,2.857383,3.074739,3.276977,3.448815,3.589065,3.691603,3.762601,3.807725,3.838881,3.864743,3.888838,3.902976,3.886004,3.8047,3.618934,3.293209,2.81164,2.187771,1.488224,0.808883,0.298966,0.065612,0.188273,0.656548,1.304885,1.910979,2.208375,2.067403,1.539025,0.912414,0.174953,0.014717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102 - Average,1.323,10.36,89.362,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011017,0.107587,0.342767,0.557903,0.760456,0.944986,1.097753,1.228012,1.339355,1.448381,1.567084,1.708145,1.870021,2.04298,2.206803,2.34735,2.461415,2.555975,2.643067,2.735383,2.844448,2.972911,3.119133,3.267879,3.40459,3.506689,3.560544,3.553686,3.483161,3.35827,3.193856,3.01543,2.840728,2.684877,2.547051,2.416915,2.274095,2.098878,1.881876,1.629946,1.375532,1.151657,1.019028,0.922721,0.896571,0.993298,1.102676,1.148953,1.060761,0.825254,0.507541,0.21134,0.065262,0.05968,0.096123,0.1293,0.158675,0.171636,0.165369,0.138752,0.100697,0.067767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75 - Average,1.37,10.229,80.742,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008933,0.08895,0.299312,0.502643,0.700022,0.884599,1.041968,1.179982,1.301057,1.420928,1.550581,1.702455,1.874776,2.058024,2.231846,2.381993,2.50537,2.609555,2.706963,2.809491,2.927171,3.060581,3.206154,3.34706,3.467777,3.546817,3.571978,3.534949,3.436089,3.290624,3.119014,2.952973,2.814863,2.719618,2.660567,2.611657,2.527927,2.358324,2.066371,1.650153,1.164672,0.700326,0.368826,0.229551,0.310197,0.62192,1.096711,1.559911,1.768031,1.599577,1.125965,0.611094,0.105968,0.007136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176 - Average,1.234,7.565,41.199,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012169,0.121528,0.410832,0.647661,0.858485,1.042848,1.190253,1.315244,1.425759,1.543088,1.682984,1.861146,2.075989,2.316567,2.558575,2.783757,2.983609,3.159409,3.318002,3.46698,3.614916,3.761441,3.903728,4.026695,4.116971,4.156654,4.134392,4.043809,3.881399,3.658145,3.383059,3.07871,2.755676,2.429443,2.102977,1.782867,1.472142,1.176617,0.902581,0.655499,0.449152,0.386079,0.386578,0.382197,0.379695,0.362941,0.329515,0.280378,0.227058,0.187106,0.179084,0.206744,0.258508,0.315318,0.357689,0.373062,0.356624,0.308439,0.239046,0.151063,0.071118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166 - Average,1.217,8.101,57.414,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013209,0.127293,0.390064,0.628289,0.850258,1.050242,1.214095,1.353607,1.475088,1.599417,1.742075,1.918567,2.126279,2.351745,2.567406,2.752556,2.899634,3.014131,3.108627,3.197549,3.294255,3.402951,3.522154,3.636558,3.729302,3.777266,3.76371,3.678099,3.517285,3.298391,3.043023,2.788964,2.561257,2.379128,2.238235,2.119703,1.990981,1.818753,1.582113,1.283453,0.961943,0.667961,0.479909,0.393146,0.379829,0.478832,0.668221,0.807181,0.822902,0.692627,0.473549,0.261277,0.121742,0.115292,0.15568,0.172352,0.173647,0.153779,0.112719,0.071052,0.030646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187 - Average,1.11,6.755,27.854,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012532,0.265133,0.510093,0.768405,0.99918,1.197343,1.353959,1.478131,1.580352,1.684009,1.809424,1.976219,2.185774,2.426881,2.672067,2.89953,3.100202,3.278345,3.446146,3.617322,3.805371,4.010393,4.226466,4.426764,4.5842,4.661989,4.634719,4.487813,4.217716,3.851019,3.415746,2.96319,2.524623,2.132257,1.791079,1.496521,1.228497,0.966605,0.69922,0.428644,0.206481,0.117084,0.086281,0.058053,0.030455,0.049339,0.168684,0.301614,0.37542,0.36183,0.276165,0.13167,0.023049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126 - Average,1.275,8.853,162.489,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015068,0.139811,0.37866,0.596105,0.798995,0.982612,1.134476,1.265726,1.382348,1.503791,1.644184,1.817885,2.022143,2.244424,2.45884,2.645854,2.797556,2.917482,3.015221,3.101736,3.187166,3.273671,3.358844,3.430182,3.474939,3.478744,3.431994,3.331958,3.177736,2.983215,2.761433,2.537309,2.325372,2.139353,1.977538,1.830846,1.680419,1.507893,1.305643,1.083362,0.873416,0.713574,0.637147,0.647936,0.771754,1.006474,1.253657,1.41468,1.391532,1.161667,0.803712,0.451969,0.188152,0.149638,0.223166,0.288228,0.3564,0.40824,0.43734,0.438752,0.411178,0.354716,0.279003,0.154351,0.042786,0,0,0,0,0,0,0,0,0,0,0
38 - Average,5.925,26.934,187.066,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059181,0.116993,0.165298,0.18576,0.192085,0.185874,0.178734,0.182255,0.208356,0.264418,0.352449,0.466536,0.598296,0.738654,0.880496,1.019792,1.154626,1.290639,1.435626,1.607253,1.820457,2.100099,2.45423,2.900498,3.416514,3.990804,4.565389,5.10017,5.53101,5.821442,5.939225,5.874045,5.626117,5.200457,4.606086,3.860613,2.99278,2.073291,1.196422,0.508617,0.163911,0.250404,0.759482,1.552565,2.32347,2.71392,2.527573,1.820906,0.949296,0.076883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27 - Average,8.783,37.379,229.453,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08717,0.123884,0.140716,0.140758,0.132878,0.12323,0.121661,0.13625,0.171327,0.226167,0.294369,0.36901,0.445587,0.523709,0.606058,0.696203,0.801004,0.925669,1.079284,1.264872,1.492334,1.759665,2.077864,2.437844,2.850069,3.303196,3.806535,4.343154,4.901575,5.431605,5.870643,6.128405,6.1171,5.769085,5.064861,4.044701,2.838853,1.630453,0.684031,0.229951,0.435263,1.289817,2.517558,3.686874,4.264131,3.971437,2.893878,1.610856,0.138454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117 - Average,1.261,7.721,58.112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010971,0.107622,0.347531,0.575037,0.791434,0.989284,1.154155,1.297322,1.425481,1.560385,1.71825,1.915613,2.149591,2.405771,2.653881,2.870662,3.046536,3.185759,3.300087,3.40272,3.504988,3.60785,3.706476,3.784463,3.825741,3.814259,3.741312,3.610276,3.427115,3.213447,2.98482,2.763368,2.55525,2.363415,2.176251,1.977421,1.742185,1.448968,1.094588,0.705051,0.34164,0.091486,0.027745,0.006297,0.182167,0.692542,1.216742,1.61685,1.721001,1.494031,1.030506,0.573337,0.05032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58 - Average,4.942,26.334,216.014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070219,0.138464,0.201403,0.238379,0.26493,0.281067,0.29803,0.324801,0.370682,0.439032,0.528545,0.631699,0.741966,0.856133,0.975753,1.106525,1.255282,1.43254,1.643299,1.895366,2.182292,2.504253,2.841931,3.192696,3.532806,3.86136,4.16177,4.436424,4.675208,4.873906,5.013469,5.068486,5.001089,4.767795,4.329833,3.670953,2.810522,1.839378,0.886078,0.147104,0,0.101448,0.824041,1.888384,2.89325,3.427142,3.264323,2.453611,1.515509,0.140826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87 - Average,1.339,13.019,170.242,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017443,0.156105,0.368016,0.568544,0.758529,0.932054,1.075847,1.197863,1.301282,1.401447,1.50953,1.637154,1.78259,1.936172,2.078646,2.196669,2.287321,2.356543,2.414034,2.46994,2.532506,2.602962,2.678396,2.747845,2.801587,2.828838,2.824479,2.787207,2.719114,2.629814,2.528358,2.426988,2.330498,2.242148,2.159059,2.07817,1.997045,1.918632,1.85303,1.816321,1.822701,1.873565,1.950587,2.026415,2.089113,2.151221,2.208347,2.219348,2.10935,1.804663,1.331276,0.867511,0.46042,0.117132,0.019622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
