d (0.1),d (0.5),d (0.9),Result Between User Sizes (Sizes in um),..5,..6,..7,..8,..9,..10,..11,..12,..13,..14,..15,..16,..17,..18,..19,..20,..21,..22,..23,..24,..25,..26,..27,..28,..29,..30,..31,..32,..33,..34,..35,..36,..37,..38,..39,..40,..41,..42,..43,..44,..45,..46,..47,..48,..49,..50,..51,..52,..53,..54,..55,..56,..57,..58,..59,..60,..61,..62,..63,..64,..65,..66,..67,..68,..69,..70,..71,..72,..73,..74,..75,..76,..77,..78,..79,..80,..81,..82,..83,..84,..85,..86,..87,..88,..89,..90,..91,..92,..93,..94,..95,..96,..97,..98,..99,..100,..101,..102,..103,..104,Sample Name
,,,0.01,0.011482,0.013183,0.015136,0.017378,0.019953,0.022909,0.026303,0.0302,0.034674,0.039811,0.045709,0.052481,0.060256,0.069183,0.079433,0.091201,0.104713,0.120226,0.138038,0.158489,0.18197,0.20893,0.239883,0.275423,0.316228,0.363078,0.416869,0.47863,0.549541,0.630957,0.724436,0.831764,0.954993,1.096478,1.258925,1.44544,1.659587,1.905461,2.187762,2.511886,2.884031,3.311311,3.801894,4.365158,5.011872,5.754399,6.606934,7.585776,8.709636,10,11.481536,13.182567,15.135612,17.378008,19.952623,22.908677,26.30268,30.199517,34.673685,39.810717,45.708819,52.480746,60.255959,69.183097,79.432823,91.201084,104.712855,120.226443,138.038426,158.489319,181.970086,208.929613,239.883292,275.42287,316.227766,363.078055,416.869383,478.630092,549.540874,630.957344,724.43596,831.763771,954.992586,1096.478196,1258.925412,1445.439771,1659.586907,1905.460718,2187.761624,2511.886432,2884.031503,3311.311215,3801.893963,4365.158322,5011.872336,5754.399373,6606.93448,7585.77575,8709.6359,10000,
1.424,5.134,21.456,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373,0.259464,0.45996,0.647623,0.839153,1.039657,1.26519,1.540393,1.879339,2.298103,2.78265,3.307867,3.821829,4.278262,4.641198,4.893411,5.034159,5.073881,5.031027,4.925828,4.773626,4.589671,4.377772,4.149465,3.901917,3.64396,3.365205,3.070592,2.754104,2.426931,2.091285,1.760925,1.441396,1.143364,0.872237,0.633345,0.431226,0.268213,0.152731,0.075575,0.020168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179 trial - Average
2.937,22.95,94.258,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01255,0.081281,0.239679,0.347888,0.443391,0.509539,0.546607,0.555962,0.543732,0.521144,0.502445,0.504077,0.539762,0.615818,0.73082,0.874785,1.03865,1.216617,1.406481,1.608197,1.819814,2.041812,2.266577,2.490282,2.698322,2.885055,3.037527,3.156508,3.239881,3.297469,3.340398,3.387033,3.454081,3.556349,3.696914,3.868693,4.04776,4.200054,4.284826,4.264861,4.115127,3.831932,3.428827,2.94676,2.428732,1.919604,1.420747,0.951538,0.510933,0.220478,0.167911,0.114494,0.063355,0.005917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 150 - Average
5.041,60.041,179.623,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013611,0.114094,0.191967,0.252097,0.296019,0.323132,0.332249,0.328163,0.317159,0.308215,0.311313,0.334857,0.382461,0.452809,0.539149,0.635289,0.737329,0.844128,0.956492,1.074766,1.20094,1.332387,1.46841,1.601252,1.727895,1.839086,1.933179,2.00389,2.052489,2.080779,2.098357,2.119579,2.165091,2.257321,2.419783,2.668739,3.012534,3.444044,3.938303,4.456696,4.939088,5.325836,5.547822,5.557939,5.331367,4.870714,4.230076,3.465199,2.690899,1.924239,1.177657,0.363633,0.009477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 150 - Average
8.557,106.392,255.446,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006369,0.069257,0.114485,0.154354,0.18376,0.201799,0.20951,0.208494,0.202954,0.198157,0.200302,0.214724,0.244008,0.287837,0.342509,0.40439,0.470796,0.540334,0.612608,0.686899,0.763755,0.841356,0.919643,0.995086,1.06751,1.133631,1.194805,1.248903,1.297447,1.339339,1.376766,1.411817,1.450852,1.503043,1.583912,1.713357,1.916846,2.220439,2.645093,3.203217,3.879607,4.644983,5.421377,6.130328,6.65366,6.905921,6.814894,6.359248,5.592369,4.587088,3.500403,2.42266,1.507364,0.199733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 150 - Average
4.287,19.878,94.57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034628,0.087362,0.123265,0.157857,0.185445,0.223448,0.28036,0.368216,0.490214,0.643942,0.816862,0.997244,1.177686,1.358334,1.546266,1.750822,1.986421,2.259491,2.579059,2.934623,3.322434,3.713434,4.09582,4.431947,4.706258,4.889959,4.972985,4.947313,4.815867,4.592274,4.2944,3.950355,3.586905,3.23002,2.899485,2.602434,2.339538,2.095512,1.856814,1.604897,1.341952,1.073108,0.827822,0.622004,0.477632,0.394389,0.370167,0.390068,0.429121,0.438878,0.409621,0.211456,0.063587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 10FD - Average
3.876,19.896,98.257,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057253,0.117718,0.176464,0.211962,0.24865,0.293488,0.360719,0.460993,0.595717,0.759678,0.938217,1.119236,1.296092,1.469848,1.647978,1.839544,2.057586,2.307005,2.594668,2.909919,3.248785,3.586095,3.912719,4.19821,4.431459,4.590004,4.666741,4.655045,4.556651,4.380991,4.140841,3.857614,3.552602,3.247746,2.961125,2.700685,2.468865,2.253282,2.041699,1.815697,1.573747,1.316038,1.065755,0.833288,0.638416,0.47967,0.361906,0.279853,0.227153,0.188542,0.157644,0.103612,0.044785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 10FD - Average
31.193,137.819,257.132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059302,0.074125,0.085074,0.089291,0.091209,0.090012,0.089039,0.09077,0.097903,0.111858,0.132807,0.159149,0.188889,0.219964,0.250682,0.279945,0.306989,0.332217,0.356087,0.380546,0.407205,0.439256,0.478121,0.525996,0.579532,0.634428,0.679554,0.703977,0.696782,0.654422,0.58735,0.524312,0.517216,0.637347,0.96603,1.575907,2.514419,3.763119,5.257141,6.823056,8.281738,9.380029,9.94596,9.84844,9.07305,7.752022,6.053291,4.244424,2.600175,0.369845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 10FD - Average
31.193,137.819,257.132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059302,0.074125,0.085074,0.089291,0.091209,0.090012,0.089039,0.09077,0.097903,0.111858,0.132807,0.159149,0.188889,0.219964,0.250682,0.279945,0.306989,0.332217,0.356087,0.380546,0.407205,0.439256,0.478121,0.525996,0.579532,0.634428,0.679554,0.703977,0.696782,0.654422,0.58735,0.524312,0.517216,0.637347,0.96603,1.575907,2.514419,3.763119,5.257141,6.823056,8.281738,9.380029,9.94596,9.84844,9.07305,7.752022,6.053291,4.244424,2.600175,0.369845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 150 - Average
8.293,35.147,183.961,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06408,0.105633,0.138654,0.154589,0.16388,0.168419,0.174959,0.188763,0.213025,0.248249,0.292172,0.343257,0.40216,0.472115,0.558492,0.667275,0.807772,0.986559,1.214937,1.493895,1.832098,2.216859,2.649704,3.099713,3.555894,3.977198,4.342761,4.617147,4.784532,4.833617,4.770758,4.61598,4.399221,4.154658,3.911785,3.68585,3.479972,3.279553,3.069607,2.832308,2.571365,2.292457,2.021134,1.762688,1.530055,1.31879,1.139281,0.990871,0.872764,0.770794,0.667989,0.537072,0.376683,0.155656,0.024302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 61 - Average
6.995,40.035,237.007,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03457,0.093527,0.123673,0.144242,0.157977,0.172732,0.194021,0.228242,0.277766,0.342217,0.417172,0.499057,0.586427,0.680863,0.786524,0.907822,1.05191,1.22194,1.424596,1.656793,1.922238,2.208664,2.515976,2.822066,3.120318,3.385863,3.608974,3.772502,3.872327,3.907098,3.88539,3.822357,3.737143,3.648813,3.571246,3.50807,3.452752,3.387851,3.294168,3.154547,2.969487,2.746653,2.512853,2.279636,2.063373,1.85865,1.669503,1.488285,1.311318,1.126218,0.929998,0.707417,0.491349,0.213602,0.031223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 57 - Average
7.378,41.293,244.494,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063652,0.103153,0.125645,0.140317,0.156169,0.177003,0.209079,0.254838,0.314529,0.384551,0.461783,0.54491,0.635711,0.738685,0.85852,1.002637,1.174526,1.38119,1.619474,1.892686,2.187237,2.501835,2.812873,3.113145,3.377703,3.597522,3.756794,3.852937,3.886303,3.866962,3.811007,3.737407,3.663525,3.600397,3.548845,3.500458,3.437681,3.342551,3.199744,3.010849,2.782732,2.540814,2.296179,2.068126,1.85553,1.666465,1.495251,1.337985,1.178838,1.008101,0.799982,0.586174,0.279409,0.059579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 57 - Average
3.196,8.776,20.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073717,0.142357,0.217605,0.276114,0.334433,0.394622,0.466638,0.561931,0.689948,0.86289,1.092427,1.398836,1.806974,2.34056,3.015384,3.820025,4.730307,5.671272,6.569812,7.305534,7.795979,7.957189,7.762978,7.238784,6.434422,5.466518,4.423847,3.429085,2.542283,1.818095,1.256399,0.845898,0.552495,0.326089,0.14269,0.053218,0.026185,0.016772,0.013935,0.018459,0.025895,0.031859,0.031211,0.01833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 57 - Average
1.398,11.854,99.396,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585,0.219887,0.411411,0.60743,0.803829,0.985208,1.159339,1.322409,1.483864,1.64516,1.811481,1.976344,2.130797,2.259877,2.35566,2.419631,2.461795,2.496089,2.536513,2.594294,2.673245,2.772538,2.881742,2.991786,3.088521,3.165761,3.21488,3.233703,3.221653,3.182102,3.120674,3.040308,2.943479,2.828199,2.693463,2.537478,2.361176,2.169141,1.967613,1.766981,1.572064,1.389732,1.217744,1.059693,0.912908,0.785005,0.678056,0.602502,0.562065,0.559766,0.588512,0.626583,0.63973,0.582392,0.438309,0.191329,0.052298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 75 - Average
3.196,8.776,20.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073717,0.142357,0.217605,0.276114,0.334433,0.394622,0.466638,0.561931,0.689948,0.86289,1.092427,1.398836,1.806974,2.34056,3.015384,3.820025,4.730307,5.671272,6.569812,7.305534,7.795979,7.957189,7.762978,7.238784,6.434422,5.466518,4.423847,3.429085,2.542283,1.818095,1.256399,0.845898,0.552495,0.326089,0.14269,0.053218,0.026185,0.016772,0.013935,0.018459,0.025895,0.031859,0.031211,0.01833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 54 -Average
3.196,8.776,20.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073717,0.142357,0.217605,0.276114,0.334433,0.394622,0.466638,0.561931,0.689948,0.86289,1.092427,1.398836,1.806974,2.34056,3.015384,3.820025,4.730307,5.671272,6.569812,7.305534,7.795979,7.957189,7.762978,7.238784,6.434422,5.466518,4.423847,3.429085,2.542283,1.818095,1.256399,0.845898,0.552495,0.326089,0.14269,0.053218,0.026185,0.016772,0.013935,0.018459,0.025895,0.031859,0.031211,0.01833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 54 -Average
1.341,9.79,197.915,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008306,0.136876,0.363052,0.583713,0.794732,1.005283,1.214702,1.425749,1.647404,1.878856,2.122457,2.364818,2.590628,2.776585,2.907784,2.979823,2.999551,2.980417,2.939033,2.889819,2.843199,2.801597,2.762961,2.720401,2.669607,2.605744,2.529764,2.440037,2.342291,2.240382,2.142952,2.052945,1.972678,1.899152,1.829505,1.760223,1.689397,1.617489,1.547531,1.486371,1.439915,1.413169,1.405923,1.413868,1.430109,1.447127,1.458606,1.458031,1.439402,1.396866,1.322121,1.207155,1.046076,0.81916,0.569859,0.168799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 79 - Average
2.506,10.393,31.765,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076493,0.198623,0.326303,0.420759,0.510305,0.589835,0.675565,0.776452,0.905348,1.066227,1.261091,1.485016,1.737658,2.02218,2.344539,2.711131,3.120213,3.570604,4.042246,4.521316,4.970129,5.367865,5.674066,5.870427,5.928826,5.83594,5.589065,5.191451,4.673167,4.059805,3.400936,2.73356,2.103739,1.542212,1.071776,0.703083,0.433519,0.256898,0.156835,0.116098,0.11308,0.127652,0.143445,0.15029,0.146481,0.137366,0.130894,0.133661,0.147306,0.167691,0.18177,0.182875,0.135101,0.061087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 62 - Average
1.339,7.402,56.213,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010598,0.17075,0.39113,0.61067,0.817195,1.015766,1.207381,1.400175,1.611839,1.852422,2.133667,2.444879,2.765523,3.057429,3.290089,3.447511,3.53126,3.554459,3.536852,3.498601,3.455779,3.415559,3.378024,3.335953,3.283039,3.211842,3.121479,3.009401,2.884343,2.755056,2.637391,2.53904,2.463,2.400733,2.338488,2.259316,2.148601,1.997599,1.804176,1.577439,1.328201,1.076247,0.833135,0.617891,0.435389,0.294653,0.190061,0.121247,0.082006,0.069227,0.077761,0.101474,0.125843,0.139448,0.10021,0.042756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 161 - Average
5.951,37.299,143.833,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064193,0.109255,0.149304,0.174798,0.197683,0.220603,0.250779,0.294395,0.354374,0.431185,0.520988,0.620367,0.726941,0.840358,0.962102,1.092937,1.235939,1.390279,1.559341,1.739977,1.937087,2.14643,2.375573,2.617468,2.877549,3.144953,3.419798,3.688221,3.944589,4.174059,4.367993,4.515337,4.609409,4.644581,4.616721,4.52172,4.356755,4.116174,3.802728,3.415579,2.977516,2.503491,2.038964,1.601335,1.226343,0.914573,0.679661,0.514239,0.410065,0.339731,0.289584,0.192788,0.083185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 69 - Average
1.604,23.506,199.389,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535,0.066247,0.23347,0.398391,0.562213,0.719729,0.858482,0.98354,1.094039,1.199785,1.306097,1.420202,1.539387,1.656425,1.757621,1.834209,1.885537,1.918159,1.941808,1.966714,2.001181,2.048207,2.106993,2.169988,2.229766,2.276204,2.30392,2.307643,2.285676,2.240959,2.179812,2.113902,2.053906,2.011662,1.996315,2.016231,2.077953,2.185321,2.337741,2.529541,2.744578,2.960779,3.141412,3.25192,3.258695,3.14511,2.918591,2.596267,2.226927,1.845105,1.499452,1.202621,0.960142,0.728969,0.520293,0.166282,0.011344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 90 - Average
6.772,28.32,184.541,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032765,0.091985,0.120194,0.135433,0.142843,0.151133,0.167884,0.200881,0.253284,0.324354,0.40821,0.499582,0.595942,0.699205,0.815746,0.953921,1.126594,1.342625,1.615317,1.943953,2.335336,2.770361,3.245198,3.719531,4.174577,4.56195,4.855343,5.019862,5.041347,4.918014,4.665549,4.318635,3.920047,3.516985,3.150971,2.84643,2.613511,2.438327,2.299741,2.169084,2.031301,1.878619,1.722008,1.566538,1.424207,1.293873,1.181378,1.08352,0.992221,0.89302,0.753812,0.595861,0.295935,0.085056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 159 - Average
1.147,6.519,40.619,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006247,0.249015,0.516027,0.792742,1.068588,1.321538,1.560278,1.782123,2.003893,2.232851,2.480778,2.739931,2.994627,3.214825,3.377659,3.473497,3.50737,3.493244,3.450372,3.396928,3.347507,3.308321,3.279807,3.256764,3.234903,3.210027,3.180308,3.142308,3.095925,3.040563,2.977284,2.902022,2.808434,2.684425,2.519362,2.304441,2.038784,1.731901,1.400778,1.073023,0.770272,0.511799,0.313345,0.149424,0.055737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 82 - Average
3.706,20.652,128.38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065922,0.144004,0.217885,0.263559,0.300099,0.327737,0.360345,0.408666,0.484581,0.592647,0.732909,0.897522,1.079669,1.274486,1.480457,1.699022,1.93004,2.176591,2.433409,2.700066,2.963486,3.220855,3.456893,3.67135,3.851051,3.995043,4.093476,4.143665,4.140498,4.081754,3.968589,3.804428,3.600004,3.368446,3.12585,2.887444,2.66179,2.453399,2.253775,2.054155,1.839599,1.611304,1.37267,1.14936,0.956465,0.816226,0.731087,0.701328,0.712685,0.736163,0.734021,0.652665,0.481537,0.139324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 60 - Average
11.311,39.739,144.748,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050364,0.075745,0.076063,0.067222,0.061658,0.060325,0.072713,0.101537,0.146313,0.201113,0.258847,0.313988,0.365024,0.414332,0.46701,0.532757,0.622901,0.753782,0.937646,1.192786,1.521981,1.939015,2.425362,2.979777,3.562335,4.15241,4.697534,5.162487,5.498243,5.676586,5.685422,5.543447,5.294993,4.995824,4.688229,4.391073,4.087098,3.751849,3.35774,2.919761,2.462953,2.04146,1.663361,1.333119,1.022376,0.739347,0.493574,0.307862,0.173955,0.119338,0.114128,0.097065,0.080563,0.083992,0.07246,0.0542,0.036957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 38 - Average
